Name,Price,Payout,Probability
"$12,000 Crossword Bonus",2,2,0.0846740050804403
"$12,000 Crossword Bonus",2,4,0.038461538461538464
"$12,000 Crossword Bonus",2,4,0.0196078431372549
"$12,000 Crossword Bonus",2,5,0.038461538461538464
"$12,000 Crossword Bonus",2,10,0.01719986240110079
"$12,000 Crossword Bonus",2,20,0.004975124378109453
"$12,000 Crossword Bonus",2,30,0.0022864459484177794
"$12,000 Crossword Bonus",2,50,7.494397937541688e-4
"$12,000 Crossword Bonus",2,100,7.494397937541688e-4
"$12,000 Crossword Bonus",2,1000,8.333263889467588e-6
"$12,000 Crossword Bonus",2,12000,1.24998437519531e-5
"$12,000 Crossword Bonus",2,0,0.7928139294364501
