Name,Price,Payout,Probability
"$175,000 Bonus Star",10,10,0.1111111111111111
"$175,000 Bonus Star",10,20,0.047619047619047616
"$175,000 Bonus Star",10,20,0.024390243902439025
"$175,000 Bonus Star",10,25,0.024390243902439025
"$175,000 Bonus Star",10,25,0.024390243902439025
"$175,000 Bonus Star",10,50,0.0074443534579021805
"$175,000 Bonus Star",10,50,0.004479885314935938
"$175,000 Bonus Star",10,50,0.004479885314935938
"$175,000 Bonus Star",10,50,0.004479885314935938
"$175,000 Bonus Star",10,100,7.494397937541688e-4
"$175,000 Bonus Star",10,100,7.494397937541688e-4
"$175,000 Bonus Star",10,100,7.494397937541688e-4
"$175,000 Bonus Star",10,100,7.494397937541688e-4
"$175,000 Bonus Star",10,200,2.4993751562109475e-4
"$175,000 Bonus Star",10,200,2.4993751562109475e-4
"$175,000 Bonus Star",10,200,3.1249023468016625e-5
"$175,000 Bonus Star",10,1000,1.24998437519531e-5
"$175,000 Bonus Star",10,1000,1.24998437519531e-5
"$175,000 Bonus Star",10,175000,1.24998437519531e-5
"$175,000 Bonus Star",10,0,0.7436487173988315
