Name,Price,Payout,Probability
50X,10,10,0.1111111111111111
50X,10,20,0.08045052292839903
50X,10,20,0.012345679012345678
50X,10,25,0.024390243902439025
50X,10,25,0.024390243902439025
50X,10,50,0.004975124378109453
50X,10,50,0.0024937655860349127
50X,10,100,0.001597444089456869
50X,10,100,0.00149774589243189
50X,10,100,4.997501249375312e-4
50X,10,200,2.1870209057328377e-4
50X,10,200,4.999750012499375e-5
50X,10,200,1.0623876525057475e-4
50X,10,500,2.8117056931416874e-4
50X,10,500,3.1249023468016625e-5
50X,10,500,3.1249023468016625e-5
50X,10,1000,3.749858911558453e-5
50X,10,1000,1.24998437519531e-5
50X,10,175000,1.24998437519531e-5
50X,10,0,0.7354672638234769
