Name,Price,Payout,Probability
Ace of Spades,5,5,0.14903129657228018
Ace of Spades,5,10,0.038461538461538464
Ace of Spades,5,10,0.009900990099009901
Ace of Spades,5,15,0.014777597162701344
Ace of Spades,5,15,0.009900990099009901
Ace of Spades,5,25,0.0024937655860349127
Ace of Spades,5,25,0.0012484394506866417
Ace of Spades,5,25,0.0012484394506866417
Ace of Spades,5,50,0.00373594351253409
Ace of Spades,5,50,2.4993751562109475e-4
Ace of Spades,5,50,2.4993751562109475e-4
Ace of Spades,5,75,0.0012484394506866417
Ace of Spades,5,75,0.0012484394506866417
Ace of Spades,5,75,2.4993751562109475e-4
Ace of Spades,5,75,1.2498437695288088e-4
Ace of Spades,5,150,4.997501249375312e-4
Ace of Spades,5,150,4.997501249375312e-4
Ace of Spades,5,150,2.499937501562461e-5
Ace of Spades,5,150,2.499937501562461e-5
Ace of Spades,5,300,1.2498437695288088e-4
Ace of Spades,5,300,2.499937501562461e-5
Ace of Spades,5,500,6.249960937744139e-6
Ace of Spades,5,500,6.249960937744139e-6
Ace of Spades,5,1000,6.249960937744139e-6
Ace of Spades,5,1000,6.249960937744139e-6
Ace of Spades,5,5000,6.249960937744139e-6
Ace of Spades,5,75000,1.24998437519531e-5
Ace of Spades,5,0,0.764586091380013
