Name,Price,Payout,Probability
Arctic Cat,5,5,0.16233766233766234
Arctic Cat,5,10,0.047619047619047616
Arctic Cat,5,10,0.047619047619047616
Arctic Cat,5,15,0.012345679012345678
Arctic Cat,5,15,0.006211180124223602
Arctic Cat,5,25,0.0029910567403463647
Arctic Cat,5,25,0.002244971264367816
Arctic Cat,5,25,0.002244971264367816
Arctic Cat,5,50,9.99000999000999e-4
Arctic Cat,5,50,4.997501249375312e-4
Arctic Cat,5,50,2.4993751562109475e-4
Arctic Cat,5,75,3.9984006397441024e-4
Arctic Cat,5,75,1.4997742839702624e-4
Arctic Cat,5,75,1.999600079984003e-4
Arctic Cat,5,150,9.999000099990002e-5
Arctic Cat,5,150,9.999000099990002e-5
Arctic Cat,5,150,1.4997742839702624e-4
Arctic Cat,5,300,9.999000099990002e-5
Arctic Cat,5,300,9.999000099990002e-5
Arctic Cat,5,500,5.555524691529492e-6
Arctic Cat,5,500,5.555524691529492e-6
Arctic Cat,5,21620,5.555524691529492e-6
Arctic Cat,5,75000,5.555524691529492e-6
Arctic Cat,5,0,0.7133157583474989
