Name,Price,Payout,Probability
"Baby, It's Cold Outside!",1,1,0.1150747986191024
"Baby, It's Cold Outside!",1,2,0.045351473922902494
"Baby, It's Cold Outside!",1,5,0.014777597162701344
"Baby, It's Cold Outside!",1,10,0.0074443534579021805
"Baby, It's Cold Outside!",1,10,0.0074443534579021805
"Baby, It's Cold Outside!",1,20,9.99000999000999e-4
"Baby, It's Cold Outside!",1,20,9.99000999000999e-4
"Baby, It's Cold Outside!",1,40,4.997501249375312e-4
"Baby, It's Cold Outside!",1,40,2.4993751562109475e-4
"Baby, It's Cold Outside!",1,100,1.999600079984003e-4
"Baby, It's Cold Outside!",1,100,1.4997742839702624e-4
"Baby, It's Cold Outside!",1,1500,1.4285510206997042e-5
"Baby, It's Cold Outside!",1,0,0.8067955107943263
