Name,Price,Payout,Probability
Bingo Night,2,2,0.09090909090909091
Bingo Night,2,4,0.09090909090909091
Bingo Night,2,10,0.005964096141229797
Bingo Night,2,10,0.00398406374501992
Bingo Night,2,20,0.001996007984031936
Bingo Night,2,20,0.001996007984031936
Bingo Night,2,20,0.001996007984031936
Bingo Night,2,50,0.0013315579227696406
Bingo Night,2,50,0.0013315579227696406
Bingo Night,2,50,0.0013315579227696406
Bingo Night,2,100,3.332222592469177e-4
Bingo Night,2,100,3.332222592469177e-4
Bingo Night,2,100,2.6659557451346307e-4
Bingo Night,2,1000,4.761882086275779e-6
Bingo Night,2,1000,4.761882086275779e-6
Bingo Night,2,12000,9.523718821725508e-6
Bingo Night,2,0,0.7972988729991621
