Name,Price,Payout,Probability
Booming Bucks,2,2,0.1524390243902439
Booming Bucks,2,4,0.0196078431372549
Booming Bucks,2,4,0.009900990099009901
Booming Bucks,2,10,0.009900990099009901
Booming Bucks,2,10,0.009900990099009901
Booming Bucks,2,20,0.004777146132900205
Booming Bucks,2,50,6.662225183211193e-4
Booming Bucks,2,50,0.0028253376278465276
Booming Bucks,2,50,6.662225183211193e-4
Booming Bucks,2,70,9.657356974543207e-4
Booming Bucks,2,100,3.333222225925803e-5
Booming Bucks,2,100,3.333222225925803e-5
Booming Bucks,2,1000,1.3333155557925894e-5
Booming Bucks,2,1000,6.6666222225185165e-6
Booming Bucks,2,12000,1.3333155557925894e-5
Booming Bucks,2,0,0.7882495003027713
