Name,Price,Payout,Probability
Bubble Bingo,3,3,0.1044932079414838
Bubble Bingo,3,5,0.07692307692307693
Bubble Bingo,3,9,0.0033222591362126247
Bubble Bingo,3,12,0.0033222591362126247
Bubble Bingo,3,14,0.0033222591362126247
Bubble Bingo,3,15,0.0033222591362126247
Bubble Bingo,3,20,0.006622516556291391
Bubble Bingo,3,20,0.0033222591362126247
Bubble Bingo,3,30,3.332222592469177e-4
Bubble Bingo,3,30,0.0023279093046534908
Bubble Bingo,3,50,0.0023279093046534908
Bubble Bingo,3,50,3.332222592469177e-4
Bubble Bingo,3,50,0.0021619751805249275
Bubble Bingo,3,75,3.332222592469177e-4
Bubble Bingo,3,100,3.332222592469177e-4
Bubble Bingo,3,150,3.332222592469177e-4
Bubble Bingo,3,200,9.999000099990002e-5
Bubble Bingo,3,500,9.999000099990002e-5
Bubble Bingo,3,1000,1.1110987655692714e-5
Bubble Bingo,3,30000,1.1110987655692714e-5
Bubble Bingo,3,0,0.7866437958347071
