Name,Price,Payout,Probability
Ca$h'm If You Can!,3,3,0.1150747986191024
Ca$h'm If You Can!,3,3,0.06540222367560497
Ca$h'm If You Can!,3,5,0.0033222591362126247
Ca$h'm If You Can!,3,5,0.006622516556291391
Ca$h'm If You Can!,3,10,0.006622516556291391
Ca$h'm If You Can!,3,10,0.0033222591362126247
Ca$h'm If You Can!,3,20,0.006622516556291391
Ca$h'm If You Can!,3,20,0.0033222591362126247
Ca$h'm If You Can!,3,30,6.662225183211193e-4
Ca$h'm If You Can!,3,30,0.001996007984031936
Ca$h'm If You Can!,3,30,6.662225183211193e-4
Ca$h'm If You Can!,3,50,4.997501249375312e-4
Ca$h'm If You Can!,3,50,0.001996007984031936
Ca$h'm If You Can!,3,50,3.332222592469177e-4
Ca$h'm If You Can!,3,100,1.6663889351774705e-4
Ca$h'm If You Can!,3,100,1.6663889351774705e-4
Ca$h'm If You Can!,3,100,2.6659557451346307e-4
Ca$h'm If You Can!,3,250,2.0828993959591752e-4
Ca$h'm If You Can!,3,250,2.499937501562461e-5
Ca$h'm If You Can!,3,250,1.666638889351844e-5
Ca$h'm If You Can!,3,500,1.749692491544611e-4
Ca$h'm If You Can!,3,500,1.666638889351844e-5
Ca$h'm If You Can!,3,500,1.666638889351844e-5
Ca$h'm If You Can!,3,1000,4.1664930627890504e-5
Ca$h'm If You Can!,3,1000,1.666638889351844e-5
Ca$h'm If You Can!,3,30000,1.666638889351844e-5
Ca$h'm If You Can!,3,0,0.7823980884384796
