Name,Price,Payout,Probability
Cash Flurries,5,5,0.14903129657228018
Cash Flurries,5,10,0.038461538461538464
Cash Flurries,5,10,0.009900990099009901
Cash Flurries,5,15,0.014777597162701344
Cash Flurries,5,15,0.009900990099009901
Cash Flurries,5,25,0.0024937655860349127
Cash Flurries,5,25,0.0018715026294611943
Cash Flurries,5,25,0.0012484394506866417
Cash Flurries,5,50,0.00373594351253409
Cash Flurries,5,50,2.4993751562109475e-4
Cash Flurries,5,50,2.4993751562109475e-4
Cash Flurries,5,75,2.4993751562109475e-4
Cash Flurries,5,75,7.494397937541688e-4
Cash Flurries,5,75,7.494397937541688e-4
Cash Flurries,5,75,1.2498437695288088e-4
Cash Flurries,5,150,2.4993751562109475e-4
Cash Flurries,5,150,1.2498437695288088e-4
Cash Flurries,5,150,2.4993751562109475e-4
Cash Flurries,5,150,1.2498437695288088e-4
Cash Flurries,5,300,2.4993751562109475e-4
Cash Flurries,5,300,1.2498437695288088e-4
Cash Flurries,5,500,3.1249023468016625e-5
Cash Flurries,5,500,6.249960937744139e-6
Cash Flurries,5,1000,3.1249023468016625e-5
Cash Flurries,5,1000,6.249960937744139e-6
Cash Flurries,5,5000,6.249960937744139e-6
Cash Flurries,5,75000,1.24998437519531e-5
Cash Flurries,5,0,0.7649857464641957
