Name,Price,Payout,Probability
Cash Line Bingo,3,3,0.11764705882352941
Cash Line Bingo,3,5,0.047619047619047616
Cash Line Bingo,3,5,0.01639344262295082
Cash Line Bingo,3,9,0.006622516556291391
Cash Line Bingo,3,12,0.0033222591362126247
Cash Line Bingo,3,15,0.009900990099009901
Cash Line Bingo,3,15,0.0033222591362126247
Cash Line Bingo,3,20,0.006622516556291391
Cash Line Bingo,3,20,0.0033222591362126247
Cash Line Bingo,3,30,1.6663889351774705e-4
Cash Line Bingo,3,30,3.332222592469177e-4
Cash Line Bingo,3,50,6.662225183211193e-4
Cash Line Bingo,3,50,6.662225183211193e-4
Cash Line Bingo,3,50,3.332222592469177e-4
Cash Line Bingo,3,75,3.332222592469177e-4
Cash Line Bingo,3,100,4.997501249375312e-4
Cash Line Bingo,3,100,3.332222592469177e-4
Cash Line Bingo,3,150,4.997501249375312e-4
Cash Line Bingo,3,150,1.6663889351774705e-4
Cash Line Bingo,3,200,9.999000099990002e-5
Cash Line Bingo,3,500,9.999000099990002e-5
Cash Line Bingo,3,1000,3.333222225925803e-5
Cash Line Bingo,3,30000,1.1110987655692714e-5
Cash Line Bingo,3,0,0.7809851149917864
