Name,Price,Payout,Probability
Cherry Doubler,1,1,0.12285012285012284
Cherry Doubler,1,2,0.0196078431372549
Cherry Doubler,1,2,0.0196078431372549
Cherry Doubler,1,5,0.014777597162701344
Cherry Doubler,1,10,0.004975124378109453
Cherry Doubler,1,10,0.004975124378109453
Cherry Doubler,1,15,0.004975124378109453
Cherry Doubler,1,20,6.995110417817946e-4
Cherry Doubler,1,20,4.997501249375312e-4
Cherry Doubler,1,50,8.492785378820691e-4
Cherry Doubler,1,50,1.999600079984003e-4
Cherry Doubler,1,100,9.999000099990002e-5
Cherry Doubler,1,100,4.999750012499375e-5
Cherry Doubler,1,2000,8.333263889467588e-6
Cherry Doubler,1,0,0.8058244001007235
