Name,Price,Payout,Probability
Double Match,2,2,0.14534883720930233
Double Match,2,4,0.0196078431372549
Double Match,2,4,0.009900990099009901
Double Match,2,10,0.009900990099009901
Double Match,2,10,0.009900990099009901
Double Match,2,25,0.0034168175761096113
Double Match,2,25,2.8563267637817766e-4
Double Match,2,25,4.283884455068478e-4
Double Match,2,25,4.283884455068478e-4
Double Match,2,50,5.711022272986865e-4
Double Match,2,50,0.002849002849002849
Double Match,2,50,5.711022272986865e-4
Double Match,2,100,7.137758743754461e-4
Double Match,2,100,5.711022272986865e-4
Double Match,2,100,2.8570612268220908e-5
Double Match,2,100,2.8570612268220908e-5
Double Match,2,100,2.8570612268220908e-5
Double Match,2,1000,9.523718821725508e-6
Double Match,2,1000,4.761882086275779e-6
Double Match,2,12000,9.523718821725508e-6
Double Match,2,0,0.7953955156511028
