Name,Price,Payout,Probability
Gnome Me The Money,1,1,0.1150747986191024
Gnome Me The Money,1,2,0.0543773790103317
Gnome Me The Money,1,5,0.014777597162701344
Gnome Me The Money,1,10,0.004975124378109453
Gnome Me The Money,1,10,0.004975124378109453
Gnome Me The Money,1,20,0.00149774589243189
Gnome Me The Money,1,20,7.494397937541688e-4
Gnome Me The Money,1,40,5.996390173115784e-4
Gnome Me The Money,1,40,7.494397937541688e-4
Gnome Me The Money,1,100,2.4993751562109475e-4
Gnome Me The Money,1,100,2.4993751562109475e-4
Gnome Me The Money,1,1000,9.0908264470323e-6
Gnome Me The Money,1,0,0.8017147460967047
