Name,Price,Payout,Probability
Happy Holly Days,2,2,0.1524390243902439
Happy Holly Days,2,4,0.0196078431372549
Happy Holly Days,2,4,0.009900990099009901
Happy Holly Days,2,10,0.009900990099009901
Happy Holly Days,2,10,0.009900990099009901
Happy Holly Days,2,25,0.0032749304077288356
Happy Holly Days,2,25,5.711022272986865e-4
Happy Holly Days,2,25,5.711022272986865e-4
Happy Holly Days,2,50,5.711022272986865e-4
Happy Holly Days,2,50,0.002138259884106314
Happy Holly Days,2,50,5.711022272986865e-4
Happy Holly Days,2,100,8.564063476838489e-4
Happy Holly Days,2,100,2.8570612268220908e-5
Happy Holly Days,2,100,2.8570612268220908e-5
Happy Holly Days,2,1000,1.4285510206997042e-5
Happy Holly Days,2,1000,7.142806122813409e-6
Happy Holly Days,2,12000,1.4285510206997042e-5
Happy Holly Days,2,0,0.7896033015756845
