Name,Price,Payout,Probability
Holiday Double Win,2,2,0.141643059490085
Holiday Double Win,2,4,0.0196078431372549
Holiday Double Win,2,4,0.0196078431372549
Holiday Double Win,2,10,0.009900990099009901
Holiday Double Win,2,10,0.004975124378109453
Holiday Double Win,2,20,0.0024937655860349127
Holiday Double Win,2,20,7.494397937541688e-4
Holiday Double Win,2,50,9.99000999000999e-4
Holiday Double Win,2,50,4.997501249375312e-4
Holiday Double Win,2,100,4.997501249375312e-4
Holiday Double Win,2,100,7.494397937541688e-4
Holiday Double Win,2,100,2.4993751562109475e-4
Holiday Double Win,2,1000,1.999960000799984e-5
Holiday Double Win,2,1000,9.99990000099999e-6
Holiday Double Win,2,12000,1.999960000799984e-5
Holiday Double Win,2,0,0.7979740567202285
