Name,Price,Payout,Probability
Mega Super Hot 7's,5,5,0.16233766233766234
Mega Super Hot 7's,5,10,0.024390243902439025
Mega Super Hot 7's,5,10,0.024390243902439025
Mega Super Hot 7's,5,15,0.012345679012345678
Mega Super Hot 7's,5,15,0.006211180124223602
Mega Super Hot 7's,5,25,0.0034878448606605983
Mega Super Hot 7's,5,25,0.0034878448606605983
Mega Super Hot 7's,5,25,0.0034878448606605983
Mega Super Hot 7's,5,50,9.99000999000999e-4
Mega Super Hot 7's,5,50,8.99191626727572e-4
Mega Super Hot 7's,5,50,7.494397937541688e-4
Mega Super Hot 7's,5,75,2.4993751562109475e-4
Mega Super Hot 7's,5,75,2.4993751562109475e-4
Mega Super Hot 7's,5,77,0.004479885314935938
Mega Super Hot 7's,5,150,9.999000099990002e-5
Mega Super Hot 7's,5,150,9.999000099990002e-5
Mega Super Hot 7's,5,300,4.999750012499375e-5
Mega Super Hot 7's,5,300,4.999750012499375e-5
Mega Super Hot 7's,5,500,3.846139053311333e-6
Mega Super Hot 7's,5,500,3.846139053311333e-6
Mega Super Hot 7's,5,777,4.615170897470748e-5
Mega Super Hot 7's,5,77777,1.1538327960126308e-5
Mega Super Hot 7's,5,0,0.7518687060559565
