Name,Price,Payout,Probability
Snow Days,1,1,0.12285012285012284
Snow Days,1,2,0.0196078431372549
Snow Days,1,2,0.0196078431372549
Snow Days,1,5,0.014777597162701344
Snow Days,1,10,0.004975124378109453
Snow Days,1,10,0.004975124378109453
Snow Days,1,15,0.0024937655860349127
Snow Days,1,15,0.0024937655860349127
Snow Days,1,20,9.99000999000999e-4
Snow Days,1,20,7.494397937541688e-4
Snow Days,1,50,2.4993751562109475e-4
Snow Days,1,50,2.4993751562109475e-4
Snow Days,1,100,4.999750012499375e-5
Snow Days,1,100,4.999750012499375e-5
Snow Days,1,1500,1.666638889351844e-5
Snow Days,1,0,0.8058538365712364
