Name,Price,Payout,Probability
The Game Of Life,3,3,0.1150747986191024
The Game Of Life,3,3,0.06540222367560497
The Game Of Life,3,5,0.0033222591362126247
The Game Of Life,3,5,0.006622516556291391
The Game Of Life,3,10,0.006622516556291391
The Game Of Life,3,10,0.0033222591362126247
The Game Of Life,3,20,0.006622516556291391
The Game Of Life,3,20,0.0033222591362126247
The Game Of Life,3,30,0.001996007984031936
The Game Of Life,3,30,0.001996007984031936
The Game Of Life,3,30,0.0016638935108153079
The Game Of Life,3,50,0.001996007984031936
The Game Of Life,3,50,0.001996007984031936
The Game Of Life,3,50,9.99000999000999e-4
The Game Of Life,3,100,4.997501249375312e-4
The Game Of Life,3,100,3.332222592469177e-4
The Game Of Life,3,100,2.6659557451346307e-4
The Game Of Life,3,250,1.3886960144424384e-4
The Game Of Life,3,250,1.666638889351844e-5
The Game Of Life,3,250,1.1110987655692714e-5
The Game Of Life,3,500,1.166530377034283e-4
The Game Of Life,3,500,1.1110987655692714e-5
The Game Of Life,3,500,1.1110987655692714e-5
The Game Of Life,3,1000,2.777700619427238e-5
The Game Of Life,3,1000,1.1110987655692714e-5
The Game Of Life,3,30000,1.1110987655692714e-5
The Game Of Life,3,0,0.7775866352506247
