Name,Price,Payout,Probability
White Elephant,1,1,0.12285012285012284
White Elephant,1,2,0.0196078431372549
White Elephant,1,2,0.0196078431372549
White Elephant,1,5,0.014777597162701344
White Elephant,1,10,0.004975124378109453
White Elephant,1,10,0.004975124378109453
White Elephant,1,15,0.004975124378109453
White Elephant,1,20,7.494397937541688e-4
White Elephant,1,20,4.997501249375312e-4
White Elephant,1,50,8.99191626727572e-4
White Elephant,1,50,1.999600079984003e-4
White Elephant,1,100,9.999000099990002e-5
White Elephant,1,100,4.999750012499375e-5
White Elephant,1,1000,1.4285510206997042e-5
White Elephant,1,0,0.8057186060135881
